,MOVIES,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Year,Director,Stars
0,Blood Red Sky,"Actio , Horror, Thriller",6.1,A woma  with a mysterious ill ess is forced i to actio  whe  a group of terrorists attempt to hijack a tra satla tic over ight flight.,"Director:
Peter Thorwarth
| 
    Stars:
Peri Baumeister, 
Carl A to  Koch, 
Alexa der Scheer, 
Kais Setti",21062.0,121.0,2021,Peter Thorwarth,"Peri Baumeister, 
Carl A to  Koch, 
Alexa der Scheer, 
Kais Setti"
1,Masters of the Universe: Revelation,"A imatio , Actio , Adve ture",5.0,The war for Eter ia begi s agai  i  what may be the fi al battle betwee  He-Ma  a d Skeletor. A  ew a imated series from writer-director Kevi  Smith.,"Stars:
Chris Wood, 
Sarah Michelle Gellar, 
Le a Headey, 
Mark Hamill",17870.0,25.0,2021–,,"Chris Wood, 
Sarah Michelle Gellar, 
Le a Headey, 
Mark Hamill"
2,The Walking Dead,"Drama, Horror, Thriller",8.2,Sheriff Deputy Rick Grimes wakes up from a coma to lear  the world is i  rui s a d must lead a group of survivors to stay alive.,"Stars:
A drew Li col , 
Norma  Reedus, 
Melissa McBride, 
Laure  Coha",885805.0,44.0,2010–2022),,"A drew Li col , 
Norma  Reedus, 
Melissa McBride, 
Laure  Coha"
3,Rick and Morty,"A imatio , Adve ture, Comedy",9.2,A  a imated series that follows the exploits of a super scie tist a d his  ot-so-bright gra dso .,"Stars:
Justi  Roila d, 
Chris Par ell, 
Spe cer Grammer, 
Sarah Chalke",414849.0,23.0,2013–,,"Justi  Roila d, 
Chris Par ell, 
Spe cer Grammer, 
Sarah Chalke"
4,Army of Thieves,"Actio , Crime, Horror",6.0,"A prequel, set before the eve ts of Army of the Dead, which focuses o  Germa  safecracker Ludwig Dieter leadi g a group of aspiri g thieves o  a top secret heist duri g the early stages of the zombie apocalypse.","Director:
Matthias Schweighöfer
| 
    Stars:
Matthias Schweighöfer, 
Nathalie Emma uel, 
Ruby O. Fee, 
Stuart Marti",21652.736861313868,79.0,2021,Matthias Schweighöfer,"Matthias Schweighöfer, 
Nathalie Emma uel, 
Ruby O. Fee, 
Stuart Marti"
5,Outer Banks,"Actio , Crime, Drama",7.6,A group of tee agers from the wro g side of the tracks stumble upo  a treasure map that u earths a lo g buried secret.,"Stars:
Chase Stokes, 
Madely  Cli e, 
Madiso  Bailey, 
Jo atha  Daviss",25858.0,50.0,2020–,,"Chase Stokes, 
Madely  Cli e, 
Madiso  Bailey, 
Jo atha  Daviss"
6,The Last Letter from Your Lover,"Drama, Roma ce",6.8,A pair of i terwove  stories set i  the past a d prese t follow a  ambitious jour alist determi ed to solve the mystery of a forbidde  love affair at the ce ter of a trove of secret love letters from 1965.,"Director:
Augusti e Frizzell
| 
    Stars:
Shaile e Woodley, 
Joe Alwy , 
We dy Notti gham, 
Felicity Jo es",5283.0,110.0,2021,Augusti e Frizzell,"Shaile e Woodley, 
Joe Alwy , 
We dy Notti gham, 
Felicity Jo es"
7,Dexter,"Crime, Drama, Mystery",8.6,"By day, mild-ma  ered Dexter is a blood-spatter a alyst for the Miami police. But at  ight, he is a serial killer who o ly targets other murderers.","Stars:
Michael C. Hall, 
Je  ifer Carpe ter, 
David Zayas, 
James Remar",665387.0,53.0,2006–2013),,"Michael C. Hall, 
Je  ifer Carpe ter, 
David Zayas, 
James Remar"
8,Never Have I Ever,Comedy,7.9,"The complicated life of a moder -day first ge eratio  I dia  America  tee age girl, i spired by Mi dy Kali g's ow  childhood.","Stars:
Maitreyi Ramakrish a , 
Poor a Jaga  atha , 
Darre  Bar et, 
Joh  McE roe",34530.0,30.0,2020–,,"Maitreyi Ramakrish a , 
Poor a Jaga  atha , 
Darre  Bar et, 
Joh  McE roe"
9,Virgin River,"Drama, Roma ce",7.4,"Seeki g a fresh start,  urse practitio er Meli da Mo roe moves from Los A geles to a remote Norther  Califor ia tow  a d is surprised by what a d who she fi ds.","Stars:
Alexa dra Brecke ridge, 
Marti  He derso , 
Coli  Lawre ce, 
Tim Matheso",27279.0,44.0,2019–,,"Alexa dra Brecke ridge, 
Marti  He derso , 
Coli  Lawre ce, 
Tim Matheso"
10,Gunpowder Milkshake,"Actio , Adve ture, Thriller",6.0,Three ge eratio s of wome  fight back agai st those who could take everythi g from them.,"Director:
Navot Papushado
| 
    Stars:
Kare  Gilla , 
Le a Headey, 
Carla Gugi o, 
Michelle Yeoh",17989.0,114.0,2021,Navot Papushado,"Kare  Gilla , 
Le a Headey, 
Carla Gugi o, 
Michelle Yeoh"
11,Lucifer,"Crime, Drama, Fa tasy",8.1,Lucifer Mor i gstar has decided he's had e ough of bei g the dutiful serva t i  Hell a d decides to spe d some time o  Earth to better u dersta d huma ity. He settles i  Los A geles - the City of A gels.,"Stars:
Tom Ellis, 
Lesley-A   Bra dt, 
Laure  Germa , 
D.B. Woodside",264222.0,42.0,2016–2021),,"Tom Ellis, 
Lesley-A   Bra dt, 
Laure  Germa , 
D.B. Woodside"
12,Fear Street: 1994,"Drama, Horror, Mystery",6.2,A circle of tee age frie ds accide tally e cou ter the a cie t evil respo sible for a series of brutal murders that have plagued their tow  for over 300 years. Welcome to Shadyside.,"Director:
Leigh Ja iak
| 
    Stars:
Kia a Madeira, 
Olivia Scott Welch, 
Be jami  Flores Jr., 
Julia Rehwald",50148.0,107.0,2021,Leigh Ja iak,"Kia a Madeira, 
Olivia Scott Welch, 
Be jami  Flores Jr., 
Julia Rehwald"
13,Sex/Life,"Comedy, Drama, Roma ce",5.4,A suburba  mother of two takes a fa tasy-charged trip dow  memory la e that sets her very married prese t o  a collisio  course with her wild-child past.,"Stars:
Sarah Shahi, 
Mike Vogel, 
Adam Demos, 
Margaret Odette",12172.0,79.0,2021–,,"Sarah Shahi, 
Mike Vogel, 
Adam Demos, 
Margaret Odette"
14,American Horror Story,"Drama, Horror, Thriller",8.0,"A  a thology series ce teri g o  differe t characters a d locatio s, i cludi g a house with a murderous past, a  i sa e asylum, a witch cove , a freak show circus, a hau ted hotel, a possessed farmhouse, a cult, the apocalypse, a d a slasher summer camp.","Stars:
Lady Gaga, 
Kathy Bates, 
A gela Bassett, 
Sarah Paulso",286488.0,60.0,2011–,,"Lady Gaga, 
Kathy Bates, 
A gela Bassett, 
Sarah Paulso"
